player,game_id,Last_2_Avg_minutes,Last_2_Avg_points,Last_2_Avg_two_points_made,Last_2_Avg_two_points_attempted,Last_2_Avg_three_points_made,Last_2_Avg_three_points_attempted,Last_2_Avg_free_throws_made,Last_2_Avg_free_throws_attempted,Last_2_Avg_offensive_rebounds,Last_2_Avg_defensive_rebounds,Last_2_Avg_total_rebounds,Last_2_Avg_assists,Last_2_Avg_steals,Last_2_Avg_turnovers,Last_2_Avg_blocks_favour,Last_2_Avg_blocks_against,Last_2_Avg_fouls_committed,Last_2_Avg_fouls_received,Last_2_Avg_valuation,Last_2_Avg_ts%
Kosta Koufos,E2019_163,14.1,4.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.5154639175257733
Niels Giffey,E2019_167,16.75,8.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,3.0,3.0,2.0,0.0,3.0,0.0,0.0,4.0,1.0,5.0,0.819672131147541
Kenneth Ogbe,E2019_167,4.5,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5
Rolands Smits,E2019_168,13.108333333333334,5.0,1.0,2.0,1.0,2.0,0.0,0.0,1.5,2.0,3.5,0.5,0.5,0.5,0.0,0.5,3.0,0.5,4.0,0.35714285714285715
Ivan Ukhov,E2019_163,,,,,,,,,,,,,,,,,,,,
Sasha Vezenkov,E2019_167,6.933333333333334,5.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.8333333333333334
Scottie Wilbekin,E2019_168,24.541666666666668,13.0,2.0,3.0,2.0,6.0,3.0,3.5,0.0,2.0,2.0,3.0,1.0,0.5,0.0,0.0,1.5,4.5,16.0,0.6134785077756422
Luis Scola,E2019_165,14.966666666666667,3.0,1.0,5.0,0.0,2.0,1.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-2.0,0.1903553299492386
Nemanja Nedovic,E2019_165,18.78333333333333,12.5,1.5,2.5,2.5,4.5,2.0,2.0,0.0,2.5,2.5,2.0,0.0,1.0,0.5,0.0,5.0,2.5,11.0,0.7848360655737705
Andrea Cinciarini,E2019_165,6.666666666666667,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.25
Christian Burns,E2019_165,,,,,,,,,,,,,,,,,,,,
Keifer Sykes,E2019_165,,,,,,,,,,,,,,,,,,,,
William James Nunnally,E2019_166,,,,,,,,,,,,,,,,,,,,
Kostas Sloukas,E2019_166,32.4,8.0,0.0,5.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,8.0,1.0,5.0,0.0,1.0,0.0,3.0,9.0,0.4504504504504504
Vyacheslav Zaytsev,E2019_164,,,,,,,,,,,,,,,,,,,,
Sergio Rodriguez,E2019_165,20.975,8.5,0.5,3.0,2.5,5.5,0.0,0.0,0.0,1.5,1.5,4.5,0.5,1.5,0.0,0.0,1.5,1.0,7.5,0.5865384615384615
Kaleb Tarczewski,E2019_165,19.283333333333335,8.5,4.0,5.5,0.0,0.0,0.5,0.5,2.5,0.5,3.0,0.5,0.5,1.0,1.0,0.0,3.5,0.5,8.0,0.7555147058823529
Alec Peters,E2019_165,18.3,4.0,0.5,1.5,0.5,2.0,1.5,1.5,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.0,2.0,2.0,3.0,0.27322404371584696
Michael Roll,E2019_165,15.758333333333333,5.0,0.5,2.5,1.0,3.0,1.0,1.0,0.5,3.0,3.5,1.5,1.0,0.5,0.0,0.0,1.5,1.0,6.0,0.3906976744186047
Bugrahan Tuncer,E2019_165,4.183333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Shane Larkin,E2019_165,24.891666666666666,14.5,1.0,4.5,2.5,6.0,5.0,5.0,0.5,2.0,2.5,4.5,1.0,1.5,0.0,1.5,0.5,4.0,16.0,0.5725279131453951
Semen Antonov,E2019_163,4.758333333333333,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-2.0,0.0
Rodrigue Beaubois,E2019_165,22.916666666666664,12.0,2.5,4.0,1.5,3.5,2.5,2.5,0.5,1.0,1.5,2.5,0.0,1.0,0.0,0.5,1.5,3.0,12.5,0.6927953639354263
Dogus Balbay,E2019_165,4.916666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
Tolga Gecim,E2019_165,,,,,,,,,,,,,,,,,,,,
Sertac Sanli,E2019_165,7.691666666666666,6.5,2.5,5.0,0.0,0.0,1.5,1.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,5.5,0.6990762601817968
